file,total_tokens,hit_tokens,static_prefix_tokens,cache_hit_ratio,static_prefix_ratio,group,error
../../conversations_split_split/conversation_004_010.jsonl,47491,43427,12725,0.9144,0.2679,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_011.jsonl,48905,47490,12725,0.9711,0.2602,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_012.jsonl,49544,48904,12725,0.9871,0.2568,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_013.jsonl,51150,49543,12725,0.9686,0.2488,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_014.jsonl,52153,51149,12725,0.9807,0.244,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_015.jsonl,56496,52152,12725,0.9231,0.2252,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_016.jsonl,60945,56495,12725,0.927,0.2088,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_017.jsonl,62075,60945,12725,0.9818,0.205,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_003_001.jsonl,12713,0,12713,0.0,1.0,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_002.jsonl,17323,12712,12713,0.7338,0.7339,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_003.jsonl,28153,17322,12713,0.6153,0.4516,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_004.jsonl,31588,28152,12713,0.8912,0.4025,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_005.jsonl,35896,31587,12713,0.88,0.3542,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_006.jsonl,41939,35895,12713,0.8559,0.3031,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_007.jsonl,45794,41938,12713,0.9158,0.2776,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_008.jsonl,46691,45793,12713,0.9808,0.2723,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_009.jsonl,51956,46690,12713,0.8986,0.2447,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_010.jsonl,53399,51955,12713,0.973,0.2381,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_011.jsonl,55129,53398,12713,0.9686,0.2306,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_012.jsonl,55517,55128,12713,0.993,0.229,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_013.jsonl,56380,55516,12713,0.9847,0.2255,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_014.jsonl,56609,56379,12713,0.9959,0.2246,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_015.jsonl,57084,56608,12713,0.9917,0.2227,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_016.jsonl,61808,57083,12713,0.9236,0.2057,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_003_017.jsonl,62388,61808,12713,0.9907,0.2038,8c3163a3d0c15c49170b865552a106eb,
../../conversations_split_split/conversation_006_001.jsonl,13341,0,13341,0.0,1.0,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_002.jsonl,13965,13340,13341,0.9552,0.9553,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_003.jsonl,21159,13964,13341,0.66,0.6305,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_004.jsonl,22089,21158,13341,0.9579,0.604,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_005.jsonl,26804,22088,13341,0.8241,0.4977,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_006.jsonl,29684,26803,13341,0.9029,0.4494,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_007.jsonl,34248,29683,13341,0.8667,0.3895,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_008.jsonl,37196,34247,13341,0.9207,0.3587,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_009.jsonl,42701,37195,13341,0.8711,0.3124,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_010.jsonl,50645,42700,13341,0.8431,0.2634,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_011.jsonl,51230,50644,13341,0.9886,0.2604,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_012.jsonl,51867,51229,13341,0.9877,0.2572,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_013.jsonl,59544,51866,13341,0.8711,0.2241,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_014.jsonl,59714,59543,13341,0.9971,0.2234,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_006_015.jsonl,60511,59714,13341,0.9868,0.2205,49bcb28d78054436fe96bab0cc5efb8d,
../../conversations_split_split/conversation_007_001.jsonl,12741,0,12741,0.0,1.0,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_002.jsonl,15751,12740,12741,0.8088,0.8089,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_003.jsonl,26139,15750,12741,0.6025,0.4874,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_004.jsonl,28374,26138,12741,0.9212,0.449,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_005.jsonl,29343,28373,12741,0.9669,0.4342,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_006.jsonl,30022,29342,12741,0.9773,0.4244,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_007.jsonl,30458,30021,12741,0.9857,0.4183,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_008.jsonl,32241,30457,12741,0.9447,0.3952,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_009.jsonl,32984,32240,12741,0.9774,0.3863,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_010.jsonl,35452,32983,12741,0.9304,0.3594,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_011.jsonl,36273,35451,12741,0.9773,0.3513,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_012.jsonl,40061,36272,12741,0.9054,0.318,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_013.jsonl,49951,40060,12741,0.802,0.2551,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_007_014.jsonl,50689,49951,12741,0.9854,0.2514,d6a733c2ae5fe4a16f35333cffbeca85,
../../conversations_split_split/conversation_001_001.jsonl,12846,0,12846,0.0,1.0,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_002.jsonl,19616,12845,12846,0.6548,0.6549,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_003.jsonl,30284,19615,12846,0.6477,0.4242,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_004.jsonl,35564,30283,12846,0.8515,0.3612,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_005.jsonl,36143,35563,12846,0.984,0.3554,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_006.jsonl,36362,36142,12846,0.9939,0.3533,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_007.jsonl,37820,36361,12846,0.9614,0.3397,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_008.jsonl,42341,37819,12846,0.8932,0.3034,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_009.jsonl,43167,42340,12846,0.9808,0.2976,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_010.jsonl,44801,43166,12846,0.9635,0.2867,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_011.jsonl,48618,44800,12846,0.9215,0.2642,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_012.jsonl,52775,48617,12846,0.9212,0.2434,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_013.jsonl,56571,52774,12846,0.9329,0.2271,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_014.jsonl,60248,56570,12846,0.939,0.2132,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_015.jsonl,62299,60247,12846,0.9671,0.2062,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_016.jsonl,64923,62298,12846,0.9596,0.1979,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_017.jsonl,67892,64922,12846,0.9563,0.1892,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_018.jsonl,72255,67891,12846,0.9396,0.1778,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_019.jsonl,72372,72254,12846,0.9984,0.1775,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_020.jsonl,72928,72371,12846,0.9924,0.1761,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_021.jsonl,73048,72927,12846,0.9983,0.1759,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_022.jsonl,73165,73047,12846,0.9984,0.1756,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_023.jsonl,81342,73164,12846,0.8995,0.1579,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_001_024.jsonl,81910,81342,12846,0.9931,0.1568,a26eea7c1245cedd0eae5fba74e29051,
../../conversations_split_split/conversation_011_001.jsonl,12856,0,12856,0.0,1.0,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_002.jsonl,17052,12855,12856,0.7539,0.7539,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_003.jsonl,26497,17051,12856,0.6435,0.4852,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_004.jsonl,28546,26496,12856,0.9282,0.4504,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_005.jsonl,28888,28545,12856,0.9881,0.445,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_006.jsonl,29136,28887,12856,0.9915,0.4412,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_007.jsonl,31694,29135,12856,0.9193,0.4056,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_008.jsonl,34875,31693,12856,0.9088,0.3686,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_009.jsonl,35752,34874,12856,0.9754,0.3596,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_010.jsonl,38345,35751,12856,0.9324,0.3353,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_011.jsonl,41864,38344,12856,0.9159,0.3071,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_011_012.jsonl,42514,41864,12856,0.9847,0.3024,d487add06ee1de4bdf13ce19fc77287a,
../../conversations_split_split/conversation_013_001.jsonl,12872,0,12872,0.0,1.0,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_002.jsonl,18829,12871,12872,0.6836,0.6836,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_003.jsonl,24039,18828,12872,0.7832,0.5355,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_004.jsonl,27384,24038,12872,0.8778,0.4701,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_005.jsonl,30201,27383,12872,0.9067,0.4262,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_006.jsonl,30947,30200,12872,0.9759,0.4159,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_007.jsonl,31095,30946,12872,0.9952,0.414,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_008.jsonl,35682,31094,12872,0.8714,0.3607,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_009.jsonl,39677,35681,12872,0.8993,0.3244,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_010.jsonl,40100,39676,12872,0.9894,0.321,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_011.jsonl,42244,40099,12872,0.9492,0.3047,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_012.jsonl,42860,42243,12872,0.9856,0.3003,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_013.jsonl,42988,42859,12872,0.997,0.2994,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_014.jsonl,43379,42987,12872,0.991,0.2967,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_015.jsonl,46025,43378,12872,0.9425,0.2797,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_016.jsonl,46122,46024,12872,0.9979,0.2791,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_013_017.jsonl,46473,46122,12872,0.9924,0.277,d5077dd6b5018e8fee2a4a81624cea27,
../../conversations_split_split/conversation_014_001.jsonl,12892,0,12892,0.0,1.0,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_002.jsonl,23750,12891,12892,0.5428,0.5428,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_003.jsonl,23995,23749,12892,0.9897,0.5373,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_004.jsonl,34169,23994,12892,0.7022,0.3773,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_005.jsonl,43608,34168,12892,0.7835,0.2956,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_006.jsonl,51645,43607,12892,0.8444,0.2496,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_007.jsonl,55711,51644,12892,0.927,0.2314,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_008.jsonl,58484,55710,12892,0.9526,0.2204,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_009.jsonl,58711,58483,12892,0.9961,0.2196,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_010.jsonl,58869,58710,12892,0.9973,0.219,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_011.jsonl,59133,58868,12892,0.9955,0.218,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_012.jsonl,63715,59132,12892,0.9281,0.2023,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_013.jsonl,66886,63714,12892,0.9526,0.1927,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_014.jsonl,70327,66885,12892,0.9511,0.1833,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_015.jsonl,71754,70326,12892,0.9801,0.1797,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_016.jsonl,74270,71753,12892,0.9661,0.1736,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_017.jsonl,76214,74269,12892,0.9745,0.1692,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_018.jsonl,76500,76213,12892,0.9962,0.1685,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_014_019.jsonl,77167,76500,12892,0.9914,0.1671,f02dcc795a6f7ad7bb45aacf6843c278,
../../conversations_split_split/conversation_015_001.jsonl,13150,0,13150,0.0,1.0,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_002.jsonl,18911,13149,13150,0.6953,0.6954,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_003.jsonl,49951,18910,13150,0.3786,0.2633,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_004.jsonl,52783,49950,13150,0.9463,0.2491,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_005.jsonl,57156,52782,13150,0.9235,0.2301,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_006.jsonl,61530,57155,13150,0.9289,0.2137,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_007.jsonl,68639,61529,13150,0.8964,0.1916,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_008.jsonl,69550,68638,13150,0.9869,0.1891,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_009.jsonl,71715,69549,13150,0.9698,0.1834,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_010.jsonl,71988,71714,13150,0.9962,0.1827,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_011.jsonl,75867,71987,13150,0.9489,0.1733,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_012.jsonl,75979,75866,13150,0.9985,0.1731,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_013.jsonl,82956,75978,13150,0.9159,0.1585,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_015_014.jsonl,83597,82956,13150,0.9923,0.1573,2ceeed4476fcd7cfdd43a50bcd03c0f6,
../../conversations_split_split/conversation_019_001.jsonl,12886,0,12886,0.0,1.0,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_002.jsonl,17483,12885,12886,0.737,0.7371,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_003.jsonl,21739,17482,12886,0.8042,0.5928,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_004.jsonl,22897,21738,12886,0.9494,0.5628,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_005.jsonl,24495,22896,12886,0.9347,0.5261,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_006.jsonl,24659,24494,12886,0.9933,0.5226,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_007.jsonl,26150,24658,12886,0.9429,0.4928,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_008.jsonl,27324,26149,12886,0.957,0.4716,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_009.jsonl,27454,27323,12886,0.9952,0.4694,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_010.jsonl,27747,27453,12886,0.9894,0.4644,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_011.jsonl,27872,27746,12886,0.9955,0.4623,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_012.jsonl,31108,27871,12886,0.8959,0.4142,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_019_013.jsonl,31406,31108,12886,0.9905,0.4103,b7d1134c157d4403ea26e1a6bd606b78,
../../conversations_split_split/conversation_012_001.jsonl,13369,0,13369,0.0,1.0,643f161c10e0372bfcf5fedfb643dfe5,
../../conversations_split_split/conversation_012_002.jsonl,19570,13368,13369,0.6831,0.6831,643f161c10e0372bfcf5fedfb643dfe5,
../../conversations_split_split/conversation_012_003.jsonl,24960,19569,13369,0.784,0.5356,643f161c10e0372bfcf5fedfb643dfe5,
../../conversations_split_split/conversation_012_004.jsonl,27067,24959,13369,0.9221,0.4939,643f161c10e0372bfcf5fedfb643dfe5,
../../conversations_split_split/conversation_012_005.jsonl,27382,27066,13369,0.9885,0.4882,643f161c10e0372bfcf5fedfb643dfe5,
../../conversations_split_split/conversation_012_006.jsonl,28581,27381,13369,0.958,0.4678,643f161c10e0372bfcf5fedfb643dfe5,
../../conversations_split_split/conversation_012_007.jsonl,31734,28580,13369,0.9006,0.4213,643f161c10e0372bfcf5fedfb643dfe5,
